SYMBOL HCT15_LARGE_INTESTINE power
A1BG -0.0173 0.988080164642491
NAT2 0.0363 1.02548045838538
ADA 0.0099 1.00688575563559
CDH2 0.0218 1.01522535099568
AKT3 0.0298 1.02087059318246
GAGE12F -0.005 0.996540262827868
LOC100009676 -0.0289 0.980167353011025
MED6 -0.0047 0.996747509096994
NR2E3 -0.0018 0.998753113085276
NAALAD2 0.0235 1.01642234709993
SNORD116-1 -0.0148 0.98979386146954
SNORD116-2 -0.0148 0.98979386146954
SNORD116-3 -0.0148 0.98979386146954
SNORD116-4 -0.0148 0.98979386146954
SNORD116-5 -0.0148 0.98979386146954
SNORD116-6 -0.0148 0.98979386146954
SNORD116-7 -0.0148 0.98979386146954
SNORD116-8 -0.0148 0.98979386146954
SNORD116-9 -0.0148 0.98979386146954
SNORD116-10 -0.0148 0.98979386146954
SNORD116-11 -0.0148 0.98979386146954
SNORD116-12 -0.0148 0.98979386146954
SNORD116-13 -0.0148 0.98979386146954
SNORD116-14 -0.0148 0.98979386146954
SNORD116-15 -0.0148 0.98979386146954
SNORD116-16 -0.0148 0.98979386146954
SNORD116-17 -0.0148 0.98979386146954
SNORD116-18 -0.0148 0.98979386146954
SNORD116-20 -0.0148 0.98979386146954
SNORD116-21 -0.0148 0.98979386146954
SNORD116-22 -0.0148 0.98979386146954
SNORD116-23 -0.0148 0.98979386146954
SNORD116-24 -0.0148 0.98979386146954
SNORD116-25 -0.0148 0.98979386146954
SNORD115-2 -0.0148 0.98979386146954
SNORD116-26 -0.0148 0.98979386146954
SNORD116-27 -0.0148 0.98979386146954
SNORD115-3 -0.0148 0.98979386146954
SNORD115-4 -0.0148 0.98979386146954
SNORD115-5 -0.0148 0.98979386146954
SNORD115-6 -0.0148 0.98979386146954
SNORD115-7 -0.0148 0.98979386146954
SNORD115-8 -0.0148 0.98979386146954
SNORD115-9 -0.0148 0.98979386146954
SNORD115-10 -0.0148 0.98979386146954
SNORD115-11 -0.0148 0.98979386146954
SNORD115-12 -0.0148 0.98979386146954
SNORD115-13 -0.0148 0.98979386146954
SNORD115-14 -0.0148 0.98979386146954
SNORD115-15 -0.0148 0.98979386146954
SNORD115-16 -0.0148 0.98979386146954
SNORD115-17 -0.0148 0.98979386146954
SNORD115-18 -0.0148 0.98979386146954
SNORD115-19 -0.0148 0.98979386146954
SNORD115-20 -0.0148 0.98979386146954
SNORD115-21 -0.0148 0.98979386146954
SNORD115-22 -0.0148 0.98979386146954
