SYMBOL HCC1954_BREAST power
A1BG -0.1831 0.8808083190307
NAT2 -1.1852 0.439763569559637
ADA 0.252 1.19085684936497
CDH2 -0.1493 0.901687858167069
AKT3 0.3615 1.28476099607099
GAGE12F 0.5734 1.48802627373215
LOC100009676 -0.0913 0.938676534721447
MED6 -0.0324 0.977792334261337
NR2E3 -0.1519 0.900064315335619
NAALAD2 0.2835 1.21714411555096
SNORD116-1 0.3894 1.30984853987151
SNORD116-2 0.3894 1.30984853987151
SNORD116-3 0.3894 1.30984853987151
SNORD116-4 0.3894 1.30984853987151
SNORD116-5 0.3894 1.30984853987151
SNORD116-6 0.3894 1.30984853987151
SNORD116-7 0.3894 1.30984853987151
SNORD116-8 0.3894 1.30984853987151
SNORD116-9 0.3894 1.30984853987151
SNORD116-10 0.3894 1.30984853987151
SNORD116-11 0.3894 1.30984853987151
SNORD116-12 0.3894 1.30984853987151
SNORD116-13 0.3894 1.30984853987151
SNORD116-14 0.3894 1.30984853987151
SNORD116-15 0.3894 1.30984853987151
SNORD116-16 0.3894 1.30984853987151
SNORD116-17 0.3894 1.30984853987151
SNORD116-18 0.3894 1.30984853987151
SNORD116-20 0.3894 1.30984853987151
SNORD116-21 0.3894 1.30984853987151
SNORD116-22 0.3894 1.30984853987151
SNORD116-23 0.3894 1.30984853987151
SNORD116-24 0.3894 1.30984853987151
SNORD116-25 0.3894 1.30984853987151
SNORD115-2 0.3894 1.30984853987151
SNORD116-26 0.3894 1.30984853987151
SNORD116-27 0.3894 1.30984853987151
SNORD115-3 0.3894 1.30984853987151
SNORD115-4 0.3894 1.30984853987151
SNORD115-5 0.3894 1.30984853987151
SNORD115-6 0.3894 1.30984853987151
SNORD115-7 0.3894 1.30984853987151
SNORD115-8 0.3894 1.30984853987151
SNORD115-9 0.3894 1.30984853987151
SNORD115-10 0.3894 1.30984853987151
SNORD115-11 0.3894 1.30984853987151
SNORD115-12 0.3894 1.30984853987151
SNORD115-13 0.3894 1.30984853987151
SNORD115-14 0.3894 1.30984853987151
SNORD115-15 0.3894 1.30984853987151
SNORD115-16 0.3894 1.30984853987151
SNORD115-17 0.3894 1.30984853987151
SNORD115-18 0.3894 1.30984853987151
SNORD115-19 0.3894 1.30984853987151
SNORD115-20 0.3894 1.30984853987151
SNORD115-21 0.3894 1.30984853987151
SNORD115-22 0.3894 1.30984853987151
SNORD115-23 0.3894 1.30984853987151
SNORD115-25 0.3894 1.30984853987151
SNORD115-26 0.3894 1.30984853987151
SNORD115-29 0.3894 1.30984853987151
SNORD115-30 0.3894 1.30984853987151
SNORD115-31 0.3894 1.30984853987151
SNORD115-32 0.3894 1.30984853987151
SNORD115-33 0.3894 1.30984853987151
SNORD115-34 0.3894 1.30984853987151
SNORD115-35 0.3894 1.30984853987151
SNORD115-36 0.3894 1.30984853987151
SNORD115-37 0.3894 1.30984853987151
SNORD115-38 0.3894 1.30984853987151
SNORD115-39 0.3894 1.30984853987151
SNORD115-40 0.3894 1.30984853987151
SNORD115-41 0.3894 1.30984853987151
SNORD115-42 0.3894 1.30984853987151
SNORD115-43 0.3894 1.30984853987151
SNORD115-44 0.3894 1.30984853987151
MIR675 -0.4974 0.708382265755933
SNORD116-28 0.3894 1.30984853987151
SNORD116-29 0.3894 1.30984853987151
SNORD115-48 0.3894 1.30984853987151
SNORD115-24 0.3894 1.30984853987151
SNORD115-27 0.3894 1.30984853987151
SNORD115-28 0.3894 1.30984853987151
SNORD115-45 0.3894 1.30984853987151
SNORD115-47 0.3894 1.30984853987151
DDTL 0.6493 1.56840701531445
TLX1NB -0.4628 0.725576683231754
NAALADL1 0.2834 1.21705975247359
CDKN2B-AS1 -0.4006 0.757543164387486
GUSBP9 -0.378 0.769503610080431
SIGLEC14 -3.066 0.119410367047805
ACOT8 0.252 1.19085684936497
ABI1 -0.1522 0.899877171681258
GNPDA1 -0.0984 0.934068332245408
MIMT1 0.2005 1.14909653250499
KCNE3 0.2796 1.21385828475551
ZBTB33 -0.1435 0.905320168579888
SNHG8 -0.0577 0.960794634809831
LOC100093698 0.1358 1.0987018945948
CDH3 0.4385 1.35519457075427
TANK 0.1982 1.14726605804922
HAVCR1P1 -0.1703 0.888657870742836
POM121C 0.2015 1.14989330163393
ZSCAN30 -0.1235 0.917957967176685
PSIMCT-1 -0.0692 0.953166399208259
GAGE8 0.5734 1.48802627373215
ANKRD26P3 -0.1578 0.896390957129251
SRA1 -0.0984 0.934068332245408
